Model,Best CV Score,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC,Best Params
SVM,0.7063232323232324,0.72,0.6724137931034483,0.7090909090909091,0.6902654867256637,0.8250649350649351,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,0.7143636363636363,0.712,0.6862745098039216,0.6363636363636364,0.660377358490566,0.8292207792207793,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}"
Random Forest,0.692040404040404,0.68,0.6595744680851063,0.5636363636363636,0.6078431372549019,0.7990909090909091,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}"
